Index,Runs,Opposition,Ground,Date,Inns,Position,Dismissal,Match_ID,BF,4s,6s,SR,Match_Type
59,18,v West Indies,Kingston,18-05-2006,2,6,Caught,ODI # 2377,11,2,1,163.63,ODI
60,2,v West Indies,Kingston,20-05-2006,2,7,Bowled,ODI # 2379,7,0,0,28.57,ODI
61,15,v West Indies,Basseterre,23-05-2006,1,5,Run Out,ODI # 2380,26,1,0,57.69,ODI
62,46,v West Indies,Port of Spain,26-05-2006,1,6,Not Out,ODI # 2381,58,6,0,79.31,ODI
63,14,v West Indies,Port of Spain,28-05-2006,2,3,Bowled,ODI # 2382,19,2,0,73.68,ODI
64,69,v West Indies,St John's,02-06-2006,3,7,Caught,Test # 1805,52,4,6,132.69,Test
65,19,v West Indies,St John's,02-06-2006,1,7,Caught,Test # 1805,27,2,0,70.37,Test
66,9,v West Indies,Gros Islet,10-06-2006,1,7,Caught,Test # 1806,34,0,0,26.47,Test
67,20,v West Indies,Basseterre,22-06-2006,4,5,Caught,Test # 1807,32,0,2,62.5,Test
68,29,v West Indies,Basseterre,22-06-2006,2,7,Lbw,Test # 1807,56,5,0,51.78,Test
69,3,v West Indies,Kingston,30-06-2006,1,7,Caught,Test # 1808,4,0,0,75,Test
70,19,v West Indies,Kingston,30-06-2006,3,7,Bowled,Test # 1808,39,4,0,48.71,Test
71,DNB,v Sri Lanka,Colombo (SSC),18-08-2006,1,DNB,DNB,ODI # 2405,0,0,0,0,ODI
72,2,v West Indies,Kuala Lumpur,14-09-2006,1,5,Bowled,ODI # 2414,10,0,0,20,ODI
73,DNB,v Australia,Kuala Lumpur,16-09-2006,2,DNB,DNB,ODI # 2416,0,0,0,0,ODI
74,18,v West Indies,Kuala Lumpur,20-09-2006,1,6,Bowled,ODI # 2419,13,4,0,138.46,ODI
75,23,v Australia,Kuala Lumpur,22-09-2006,2,7,Caught,ODI # 2421,34,0,1,67.64,ODI
76,7,v England,Jaipur,15-10-2006,2,6,Caught,ODI # 2429,22,0,0,31.81,ODI
77,51,v West Indies,Ahmedabad,26-10-2006,1,6,Run Out,ODI # 2437,65,1,2,78.46,ODI
78,28,v Australia,Mohali,29-10-2006,1,6,Lbw,ODI # 2440,23,2,0,121.73,ODI
79,14,v South Africa,Durban,22-11-2006,2,5,Caught,ODI # 2447,27,3,0,51.85,ODI
80,55,v South Africa,Cape Town,26-11-2006,2,6,Caught,ODI # 2449,48,3,4,114.58,ODI
81,26,v South Africa,Gqeberha,29-11-2006,2,6,Caught,ODI # 2452,21,4,1,123.8,ODI
82,0,v South Africa,Johannesburg,01-12-2006,2,4,Bowled,T20I # 10,2,0,0,0,T20
83,44,v South Africa,Centurion,03-12-2006,1,5,Caught,ODI # 2458,49,2,2,89.79,ODI
84,18,v South Africa,Johannesburg,15-12-2006,3,7,Caught,Test # 1823,25,3,0,72,Test
85,5,v South Africa,Johannesburg,15-12-2006,1,7,Caught,Test # 1823,20,0,0,25,Test
86,34,v South Africa,Durban,26-12-2006,2,7,Caught,Test # 1825,39,7,0,87.17,Test
87,47,v South Africa,Durban,26-12-2006,4,7,Caught,Test # 1825,67,10,0,70.14,Test
88,62,v West Indies,Nagpur,21-01-2007,1,4,Not Out,ODI # 2480,42,3,4,147.61,ODI
89,6,v West Indies,Cuttack,24-01-2007,1,6,Caught,ODI # 2485,19,0,0,31.57,ODI
90,40,v West Indies,Vadodara,31-01-2007,1,5,Not Out,ODI # 2493,20,1,3,200,ODI
91,DNB,v Sri Lanka,Eden Gardens,08-02-2007,DNB,DNB,DNB,ODI # 2514,0,0,0,0,ODI
92,48,v Sri Lanka,Rajkot,11-02-2007,2,6,Caught,ODI # 2520,68,1,0,70.58,ODI
93,67,v Sri Lanka,Margao,14-02-2007,2,6,Not Out,ODI # 2522,74,4,0,90.54,ODI
94,DNB,v Sri Lanka,Visakhapatnam,17-02-2007,2,DNB,DNB,ODI # 2525,0,0,0,0,ODI
95,0,v Bangladesh,Port of Spain,17-03-2007,1,7,Caught,ODI # 2538,3,0,0,0,ODI
96,29,v Bermuda,Port of Spain,19-03-2007,1,4,Caught,ODI # 2542,25,2,1,116,ODI
97,0,v Sri Lanka,Port of Spain,23-03-2007,2,7,Lbw,ODI # 2550,1,0,0,0,ODI
98,91,v Bangladesh,Mirpur,10-05-2007,2,3,Not Out,ODI # 2582,106,7,0,85.84,ODI
99,36,v Bangladesh,Mirpur,12-05-2007,1,3,Caught,ODI # 2583,54,4,0,66.66,ODI
100,17,v Bangladesh,Chattogram,18-05-2007,3,6,Not Out,Test # 1832,17,1,1,100,Test
101,36,v Bangladesh,Chattogram,18-05-2007,1,6,Caught,Test # 1832,38,6,0,94.73,Test
102,51,v Bangladesh,Mirpur,25-05-2007,1,6,Not Out,Test # 1833,50,3,4,102,Test
103,2,v Africa XI,Bengaluru,06-06-2007,1,7,Run Out,ODI # 2587,4,0,0,50,ODI
104,33,v Africa XI,Chennai,09-06-2007,1,4,Bowled,ODI # 2588,38,2,2,86.84,ODI
105,139,v Africa XI,Chennai,10-06-2007,1,7,Not Out,ODI # 2589,97,15,5,143.29,ODI
106,0,v South Africa,Belfast,29-06-2007,2,5,Bowled,ODI # 2593,4,0,0,0,ODI
107,14,v South Africa,Belfast,01-07-2007,2,6,Not Out,ODI # 2595,11,2,0,127.27,ODI
108,0,v England,Lord's,19-07-2007,2,8,Caught,Test # 1840,5,0,0,0,Test
109,76,v England,Lord's,19-07-2007,4,7,Not Out,Test # 1840,159,10,0,47.79,Test
110,DNB,v England,Nottingham,27-07-2007,4,DNB,DNB,Test # 1841,0,0,0,0,Test
111,5,v England,Nottingham,27-07-2007,2,7,Caught,Test # 1841,6,1,0,83.33,Test
112,36,v England,The Oval,09-08-2007,3,7,Caught,Test # 1842,64,4,0,56.25,Test
113,92,v England,The Oval,09-08-2007,1,7,Caught,Test # 1842,81,9,4,113.58,Test
114,DNB,v Scotland,Glasgow,16-08-2007,2,DNB,DNB,ODI # 2608,0,0,0,0,ODI
115,19,v England,Southampton,21-08-2007,2,6,Caught,ODI # 2611,60,1,0,31.66,ODI
116,21,v England,Bristol,24-08-2007,1,5,Caught,ODI # 2613,18,3,0,116.66,ODI
117,13,v England,Birmingham,27-08-2007,2,6,Caught,ODI # 2616,20,0,0,65,ODI
118,13,v England,Manchester,30-08-2007,1,6,Bowled,ODI # 2617,18,1,0,72.22,ODI
119,24,v England,Leeds,02-09-2007,1,5,Caught,ODI # 2618,17,3,0,141.17,ODI
120,35,v England,The Oval,05-09-2007,2,6,Bowled,ODI # 2619,37,3,0,94.59,ODI
121,50,v England,Lord's,08-09-2007,1,7,Caught,ODI # 2620,72,4,1,69.44,ODI
122,DNB,v Scotland,Durban,13-09-2007,DNB,DNB,DNB,T20I # 26,0,0,0,0,T20
123,33,v Pakistan,Durban,14-09-2007,1,6,Caught,T20I # 29,31,3,1,106.45,T20
124,24,v New Zealand,Johannesburg,16-09-2007,2,4,Run Out,T20I # 32,20,2,0,120,T20
125,10,v England,Durban,19-09-2007,1,4,Not Out,T20I # 40,8,0,0,125,T20
126,45,v South Africa,Durban,20-09-2007,1,6,Run Out,T20I # 43,33,4,1,136.36,T20
127,36,v Australia,Durban,22-09-2007,1,5,Run Out,T20I # 45,18,4,1,200,T20
128,6,v Pakistan,Johannesburg,24-09-2007,1,5,Bowled,T20I # 46,10,0,0,60,T20
129,DNB,v Australia,Bengaluru,29-09-2007,2,DNB,DNB,ODI # 2621,0,0,0,0,ODI
130,58,v Australia,Kochi,02-10-2007,2,6,Caught,ODI # 2623,88,2,2,65.9,ODI
131,33,v Australia,Hyderabad,05-10-2007,2,6,Caught,ODI # 2625,37,4,0,89.18,ODI
132,50,v Australia,Chandigarh,08-10-2007,1,4,Not Out,ODI # 2627,35,5,1,142.85,ODI
133,4,v Australia,Vadodara,11-10-2007,1,6,Caught,ODI # 2629,7,1,0,57.14,ODI
134,26,v Australia,Nagpur,14-10-2007,2,6,Caught,ODI # 2631,29,2,1,89.65,ODI
135,5,v Australia,Wankhede,17-10-2007,2,6,Caught,ODI # 2632,11,1,0,45.45,ODI
136,9,v Australia,Brabourne,20-10-2007,2,5,Not Out,T20I # 47,5,0,1,180,T20
137,63,v Pakistan,Guwahati,05-11-2007,2,4,Caught,ODI # 2643,77,8,0,81.81,ODI
138,4,v Pakistan,Mohali,08-11-2007,1,6,Caught,ODI # 2644,10,0,0,40,ODI
139,49,v Pakistan,Kanpur,11-11-2007,1,5,Bowled,ODI # 2645,52,4,2,94.23,ODI
140,45,v Pakistan,Gwalior,15-11-2007,2,6,Not Out,ODI # 2646,45,3,1,100,ODI
141,24,v Pakistan,Jaipur,18-11-2007,2,7,Caught,ODI # 2647,32,1,0,75,ODI
142,DNB,v Pakistan,Delhi,22-11-2007,4,DNB,DNB,Test # 1849,0,0,0,0,Test
143,57,v Pakistan,Delhi,22-11-2007,2,7,Caught,Test # 1849,93,8,0,61.29,Test
144,50,v Pakistan,Eden Gardens,30-11-2007,1,7,Not Out,Test # 1850,82,6,1,60.97,Test
145,37,v Pakistan,Eden Gardens,30-11-2007,3,3,Bowled,Test # 1850,61,2,0,60.65,Test
146,0,v Australia,Melbourne,26-12-2007,2,7,Lbw,Test # 1855,2,0,0,0,Test
147,11,v Australia,Melbourne,26-12-2007,4,7,Caught,Test # 1855,32,2,0,34.37,Test
148,35,v Australia,Sydney,02-01-2008,4,7,Lbw,Test # 1857,82,6,0,42.68,Test
149,2,v Australia,Sydney,02-01-2008,2,7,Caught,Test # 1857,13,0,0,15.38,Test
150,38,v Australia,Perth,16-01-2008,3,8,Caught,Test # 1862,87,2,2,43.67,Test
151,19,v Australia,Perth,16-01-2008,1,7,Lbw,Test # 1862,52,2,0,36.53,Test
152,16,v Australia,Adelaide,24-01-2008,1,7,Caught,Test # 1863,64,1,0,25,Test
153,20,v Australia,Adelaide,24-01-2008,3,7,Caught,Test # 1863,44,3,0,45.45,Test
154,9,v Australia,Melbourne,01-02-2008,1,6,Caught,T20I # 52,27,0,0,33.33,T20
155,37,v Australia,Brisbane,03-02-2008,1,6,Caught,ODI # 2670,61,1,0,60.65,ODI
156,88,v Sri Lanka,Brisbane,05-02-2008,1,6,Not Out,ODI # 2672,95,5,1,92.63,ODI
157,17,v Australia,Melbourne,10-02-2008,2,7,Not Out,ODI # 2675,54,0,0,31.48,ODI
158,31,v Sri Lanka,Canberra,12-02-2008,1,5,Run Out,ODI # 2676,26,3,0,119.23,ODI
159,37,v Australia,Adelaide,17-02-2008,2,6,Run Out,ODI # 2680,50,1,0,74,ODI
160,50,v Sri Lanka,Adelaide,19-02-2008,2,6,Not Out,ODI # 2681,68,0,0,73.52,ODI
161,36,v Australia,Sydney,24-02-2008,2,6,Caught,ODI # 2685,66,4,0,54.54,ODI
162,DNB,v Sri Lanka,Hobart,26-02-2008,2,DNB,DNB,ODI # 2686,0,0,0,0,ODI
163,15,v Australia,Sydney,02-03-2008,2,6,Not Out,ODI # 2688,12,3,0,125,ODI
164,36,v Australia,Brisbane,04-03-2008,1,5,Caught,ODI # 2689,37,2,1,97.29,ODI
165,16,v South Africa,Chennai,26-03-2008,2,7,Caught,Test # 1870,33,2,0,48.48,Test
166,14,v South Africa,Ahmedabad,03-04-2008,1,6,Caught,Test # 1871,22,3,0,63.63,Test
167,52,v South Africa,Ahmedabad,03-04-2008,3,6,Caught,Test # 1871,132,5,0,39.39,Test
168,DNB,v South Africa,Kanpur,11-04-2008,4,DNB,DNB,Test # 1873,0,0,0,0,Test
169,32,v South Africa,Kanpur,11-04-2008,2,7,Stumped,Test # 1873,54,5,0,59.25,Test
170,24,v Pakistan,Mirpur,10-06-2008,1,6,Lbw,ODI # 2705,23,5,0,104.34,ODI
171,DNB,v Bangladesh,Mirpur,12-06-2008,2,DNB,DNB,ODI # 2706,0,0,0,0,ODI
172,64,v Pakistan,Mirpur,14-06-2008,2,7,Caught,ODI # 2707,59,3,2,108.47,ODI
