Index,Runs,Opposition,Ground,Date,Inns,Position,Dismissal,Match_ID,BF,4s,6s,SR,Match_Type
259,68,v South Africa,Gwalior,24-02-2010,1,5,Not Out,ODI # 2962,35,7,4,194.28,ODI
260,9,v South Africa,Ahmedabad,27-02-2010,2,5,Caught,ODI # 2963,7,0,1,128.57,ODI
261,15,v Afghanistan,Gros Islet,01-05-2010,2,5,Not Out,T20I # 153,6,0,2,250,T20
262,16,v South Africa,Gros Islet,02-05-2010,1,6,Not Out,T20I # 155,6,1,1,266.66,T20
263,2,v Australia,Bridgetown,07-05-2010,2,6,Caught,T20I # 165,8,0,0,25,T20
264,29,v West Indies,Bridgetown,09-05-2010,2,6,Run Out,T20I # 169,18,2,2,161.11,T20
265,23,v Sri Lanka,Gros Islet,11-05-2010,1,4,Not Out,T20I # 173,19,0,1,121.05,T20
266,38,v Bangladesh,Dambulla,16-06-2010,2,5,Not Out,ODI # 2993,45,3,1,84.44,ODI
267,56,v Pakistan,Dambulla,19-06-2010,2,4,Bowled,ODI # 2996,71,2,1,78.87,ODI
268,41,v Sri Lanka,Dambulla,22-06-2010,1,6,Run Out,ODI # 2999,53,6,0,77.35,ODI
269,38,v Sri Lanka,Dambulla,24-06-2010,1,4,Caught,ODI # 3001,50,2,1,76,ODI
270,4,v Sri Lanka,Galle,18-07-2010,3,7,Bowled,Test # 1964,5,1,0,80,Test
271,33,v Sri Lanka,Galle,18-07-2010,2,7,Bowled,Test # 1964,47,4,0,70.21,Test
272,76,v Sri Lanka,Colombo (SSC),26-07-2010,2,7,Caught,Test # 1966,138,7,0,55.07,Test
273,15,v Sri Lanka,Colombo (PSS),03-08-2010,2,7,Caught,Test # 1968,30,1,0,50,Test
274,DNB,v Sri Lanka,Colombo (PSS),03-08-2010,4,DNB,DNB,Test # 1968,0,0,0,0,Test
275,2,v New Zealand,Dambulla,10-08-2010,2,6,Run Out,ODI # 3030,9,0,0,22.22,ODI
276,23,v Sri Lanka,Dambulla,16-08-2010,2,6,Not Out,ODI # 3032,38,2,0,60.52,ODI
277,10,v Sri Lanka,Dambulla,22-08-2010,1,6,Caught,ODI # 3038,16,2,0,62.5,ODI
278,38,v New Zealand,Dambulla,25-08-2010,1,6,Caught,ODI # 3039,75,3,0,50.66,ODI
279,67,v Sri Lanka,Dambulla,28-08-2010,2,5,Bowled,ODI # 3040,100,5,1,67,ODI
280,14,v Australia,Mohali,01-10-2010,2,7,Caught,Test # 1972,28,1,1,50,Test
281,2,v Australia,Mohali,01-10-2010,4,8,Run Out,Test # 1972,14,0,0,14.28,Test
282,30,v Australia,Bengaluru,09-10-2010,2,7,Caught,Test # 1973,87,3,0,34.48,Test
283,DNB,v Australia,Bengaluru,09-10-2010,4,DNB,DNB,Test # 1973,0,0,0,0,Test
284,0,v Australia,Visakhapatnam,20-10-2010,2,6,Bowled,ODI # 3060,1,0,0,0,ODI
285,22,v New Zealand,Ahmedabad,04-11-2010,3,7,Bowled,Test # 1974,72,1,0,30.55,Test
286,10,v New Zealand,Ahmedabad,04-11-2010,1,7,Caught,Test # 1974,9,0,1,111.11,Test
287,14,v New Zealand,Hyderabad,12-11-2010,2,7,Caught,Test # 1975,21,1,0,66.66,Test
288,DNB,v New Zealand,Hyderabad,12-11-2010,4,DNB,DNB,Test # 1975,0,0,0,0,Test
289,98,v New Zealand,Nagpur,20-11-2010,2,7,Caught,Test # 1978,156,12,1,62.82,Test
290,33,v South Africa,Centurion,16-12-2010,1,7,Lbw,Test # 1985,50,2,2,66,Test
291,90,v South Africa,Centurion,16-12-2010,3,8,Caught,Test # 1985,106,14,0,84.9,Test
292,35,v South Africa,Durban,26-12-2010,1,7,Caught,Test # 1987,57,3,1,61.4,Test
293,21,v South Africa,Durban,26-12-2010,3,7,Caught,Test # 1987,35,4,0,60,Test
294,0,v South Africa,Cape Town,02-01-2011,2,7,Caught,Test # 1988,3,0,0,0,Test
295,DNB,v South Africa,Cape Town,02-01-2011,4,DNB,DNB,Test # 1988,0,0,0,0,Test
296,10,v South Africa,Durban,09-01-2011,1,7,Not Out,T20I # 196,11,0,0,90.9,T20
297,25,v South Africa,Durban,12-01-2011,2,6,Run Out,ODI # 3079,35,1,0,71.42,ODI
298,38,v South Africa,Johannesburg,15-01-2011,1,5,Bowled,ODI # 3080,61,1,0,62.29,ODI
299,5,v South Africa,Cape Town,18-01-2011,2,5,Caught,ODI # 3082,12,1,0,41.66,ODI
300,2,v South Africa,Gqeberha,21-01-2011,2,6,Caught,ODI # 3084,8,0,0,25,ODI
301,5,v South Africa,Centurion,23-01-2011,2,4,Caught,ODI # 3087,10,1,0,50,ODI
302,DNB,v Bangladesh,Mirpur,19-02-2011,1,DNB,DNB,ODI # 3100,0,0,0,0,ODI
303,31,v England,Bengaluru,27-02-2011,1,5,Caught,ODI # 3110,25,3,1,124,ODI
304,34,v Ireland,Bengaluru,06-03-2011,2,6,Lbw,ODI # 3121,50,2,0,68,ODI
305,19,v Netherlands,Delhi,09-03-2011,2,7,Not Out,ODI # 3124,40,2,0,47.5,ODI
306,12,v South Africa,Nagpur,12-03-2011,1,6,Not Out,ODI # 3128,21,0,0,57.14,ODI
307,22,v West Indies,Chennai,20-03-2011,1,5,Stumped,ODI # 3141,30,1,0,73.33,ODI
308,7,v Australia,Ahmedabad,24-03-2011,2,6,Caught,ODI # 3143,8,1,0,87.5,ODI
309,25,v Pakistan,Mohali,30-03-2011,1,6,Lbw,ODI # 3147,42,2,0,59.52,ODI
310,91,v Sri Lanka,Wankhede,02-04-2011,2,5,Not Out,ODI # 3148,79,8,2,115.18,ODI
311,0,v West Indies,Kingston,20-06-2011,1,7,Caught,Test # 1997,2,0,0,0,Test
312,16,v West Indies,Kingston,20-06-2011,3,7,Caught,Test # 1997,16,1,1,100,Test
313,5,v West Indies,Bridgetown,28-06-2011,3,7,Caught,Test # 1998,14,0,0,35.71,Test
314,2,v West Indies,Bridgetown,28-06-2011,1,7,Caught,Test # 1998,13,0,0,15.38,Test
315,74,v West Indies,Roseau,06-07-2011,2,7,Caught,Test # 1999,133,4,0,55.63,Test
316,DNB,v West Indies,Roseau,06-07-2011,4,DNB,DNB,Test # 1999,0,0,0,0,Test
317,16,v England,Lord's,21-07-2011,4,7,Caught,Test # 2000,49,2,0,32.65,Test
318,28,v England,Lord's,21-07-2011,2,7,Caught,Test # 2000,103,2,0,27.18,Test
319,5,v England,Nottingham,29-07-2011,2,7,Caught,Test # 2001,9,1,0,55.55,Test
320,0,v England,Nottingham,29-07-2011,4,7,Lbw,Test # 2001,1,0,0,0,Test
321,77,v England,Birmingham,10-08-2011,1,7,Caught,Test # 2003,96,10,3,80.2,Test
322,74,v England,Birmingham,10-08-2011,3,7,Not Out,Test # 2003,79,13,0,93.67,Test
323,17,v England,The Oval,18-08-2011,2,7,Caught,Test # 2004,50,2,0,34,Test
324,3,v England,The Oval,18-08-2011,3,7,Caught,Test # 2004,19,0,0,15.78,Test
325,8,v England,Manchester,31-08-2011,1,7,Caught,T20I # 204,8,1,0,100,T20
326,33,v England,Chester-le-Street,03-09-2011,1,7,Caught,ODI # 3186,36,2,0,91.66,ODI
327,6,v England,Southampton,06-09-2011,1,6,Caught,ODI # 3187,5,1,0,120,ODI
328,69,v England,The Oval,09-09-2011,1,6,Caught,ODI # 3189,103,5,0,66.99,ODI
329,78,v England,Lord's,11-09-2011,1,6,Not Out,ODI # 3191,71,6,3,109.85,ODI
330,50,v England,Cardiff,16-09-2011,1,6,Not Out,ODI # 3195,26,5,2,192.3,ODI
331,87,v England,Hyderabad,14-10-2011,1,6,Not Out,ODI # 3199,70,10,1,124.28,ODI
332,DNB,v England,Delhi,17-10-2011,2,DNB,DNB,ODI # 3201,0,0,0,0,ODI
333,35,v England,Mohali,20-10-2011,2,6,Not Out,ODI # 3205,31,3,0,112.9,ODI
334,15,v England,Wankhede,23-10-2011,2,6,Not Out,ODI # 3207,18,1,1,83.33,ODI
335,75,v England,Eden Gardens,25-10-2011,1,6,Not Out,ODI # 3210,69,3,4,108.69,ODI
336,21,v England,Eden Gardens,29-10-2011,1,6,Run Out,T20I # 214,26,0,1,80.76,T20
337,0,v West Indies,Delhi,06-11-2011,2,7,Bowled,Test # 2015,4,0,0,0,Test
338,0,v West Indies,Delhi,06-11-2011,4,7,Not Out,Test # 2015,4,0,0,0,Test
339,144,v West Indies,Eden Gardens,14-11-2011,1,8,Caught,Test # 2017,175,10,5,82.28,Test
340,8,v West Indies,Wankhede,22-11-2011,2,7,Bowled,Test # 2019,21,1,0,38.09,Test
341,13,v West Indies,Wankhede,22-11-2011,4,7,Caught,Test # 2019,37,1,0,35.13,Test
342,23,v Australia,Melbourne,26-12-2011,4,7,Bowled,Test # 2025,44,0,1,52.27,Test
343,6,v Australia,Melbourne,26-12-2011,2,8,Caught,Test # 2025,8,0,0,75,Test
344,57,v Australia,Sydney,03-01-2012,1,7,Not Out,Test # 2027,77,8,0,74.02,Test
345,2,v Australia,Sydney,03-01-2012,3,7,Caught,Test # 2027,11,0,0,18.18,Test
346,2,v Australia,Perth,13-01-2012,3,7,Caught,Test # 2029,16,0,0,12.5,Test
347,12,v Australia,Perth,13-01-2012,1,7,Caught,Test # 2029,22,2,0,54.54,Test
348,48,v Australia,Sydney,01-02-2012,2,6,Not Out,T20I # 217,43,1,3,111.62,T20
349,21,v Australia,Melbourne,03-02-2012,2,4,Not Out,T20I # 218,18,2,0,116.66,T20
350,29,v Australia,Melbourne,05-02-2012,2,6,Caught,ODI # 3231,38,1,0,76.31,ODI
351,4,v Sri Lanka,Perth,08-02-2012,2,6,Caught,ODI # 3233,5,1,0,80,ODI
352,44,v Australia,Adelaide,12-02-2012,2,6,Not Out,ODI # 3237,58,0,1,75.86,ODI
353,58,v Sri Lanka,Adelaide,14-02-2012,2,6,Not Out,ODI # 3239,69,3,1,84.05,ODI
354,56,v Australia,Brisbane,19-02-2012,2,6,Caught,ODI # 3244,84,2,1,66.66,ODI
355,14,v Australia,Sydney,26-02-2012,2,6,Lbw,ODI # 3250,49,0,0,28.57,ODI
356,DNB,v Sri Lanka,Hobart,28-02-2012,2,DNB,DNB,ODI # 3251,0,0,0,0,ODI
357,46,v Sri Lanka,Mirpur,13-03-2012,1,4,Not Out,ODI # 3259,26,6,1,176.92,ODI
358,21,v Bangladesh,Mirpur,16-03-2012,1,5,Not Out,ODI # 3261,11,2,0,190.9,ODI
359,4,v Pakistan,Mirpur,18-03-2012,2,6,Not Out,ODI # 3263,1,1,0,400,ODI
360,DNB,v South Africa,Johannesburg,30-03-2012,2,DNB,DNB,T20I # 242,0,0,0,0,T20
361,35,v Sri Lanka,Hambantota,21-07-2012,1,6,Caught,ODI # 3291,29,3,1,120.68,ODI
362,11,v Sri Lanka,Hambantota,24-07-2012,1,6,Caught,ODI # 3292,16,2,0,68.75,ODI
363,31,v Sri Lanka,Colombo (RPS),28-07-2012,2,4,Bowled,ODI # 3293,49,1,0,63.26,ODI
364,DNB,v Sri Lanka,Colombo (RPS),31-07-2012,2,DNB,DNB,ODI # 3294,0,0,0,0,ODI
365,58,v Sri Lanka,Pallekele,04-08-2012,1,7,Caught,ODI # 3295,38,8,1,152.63,ODI
366,16,v Sri Lanka,Pallekele,07-08-2012,1,5,Not Out,T20I # 255,14,2,0,114.28,T20
367,73,v New Zealand,Hyderabad,23-08-2012,1,7,Caught,Test # 2054,147,6,1,49.65,Test
368,62,v New Zealand,Bengaluru,31-08-2012,2,7,Lbw,Test # 2055,94,8,2,65.95,Test
369,48,v New Zealand,Bengaluru,31-08-2012,4,7,Not Out,Test # 2055,60,3,2,80,Test
370,22,v New Zealand,Chennai,11-09-2012,2,5,Not Out,T20I # 261,23,2,0,95.65,T20
371,18,v Afghanistan,Colombo (RPS),19-09-2012,1,6,Not Out,T20I # 265,9,2,1,200,T20
372,9,v England,Colombo (RPS),23-09-2012,1,5,Caught,T20I # 272,8,1,0,112.5,T20
373,15,v Australia,Colombo (RPS),28-09-2012,1,7,Caught,T20I # 278,21,2,0,71.42,T20
374,DNB,v Pakistan,Colombo (RPS),30-09-2012,2,DNB,DNB,T20I # 282,0,0,0,0,T20
375,23,v South Africa,Colombo (RPS),02-10-2012,1,7,Not Out,T20I # 286,13,3,0,176.92,T20
376,5,v England,Ahmedabad,15-11-2012,1,7,Bowled,Test # 2058,37,0,0,13.51,Test
377,DNB,v England,Ahmedabad,15-11-2012,4,DNB,DNB,Test # 2058,0,0,0,0,Test
378,29,v England,Wankhede,23-11-2012,1,7,Caught,Test # 2062,64,4,0,45.31,Test
379,6,v England,Wankhede,23-11-2012,3,7,Caught,Test # 2062,17,0,0,35.29,Test
380,52,v England,Eden Gardens,05-12-2012,1,7,Caught,Test # 2065,114,5,2,45.61,Test
381,0,v England,Eden Gardens,05-12-2012,3,7,Caught,Test # 2065,3,0,0,0,Test
382,99,v England,Nagpur,13-12-2012,2,6,Run Out,Test # 2066,246,8,1,40.24,Test
383,24,v England,Pune,20-12-2012,2,6,Not Out,T20I # 292,21,2,0,114.28,T20
384,38,v England,Wankhede,22-12-2012,1,7,Caught,T20I # 294,18,3,2,211.11,T20
385,1,v Pakistan,Bengaluru,25-12-2012,1,5,Bowled,T20I # 296,2,0,0,50,T20
386,33,v Pakistan,Ahmedabad,28-12-2012,1,5,Bowled,T20I # 298,23,4,0,143.47,T20
387,113,v Pakistan,Chennai,30-12-2012,1,7,Not Out,ODI # 3314,125,7,3,90.4,ODI
388,54,v Pakistan,Eden Gardens,03-01-2013,2,6,Not Out,ODI # 3315,89,4,1,60.67,ODI
389,36,v Pakistan,Delhi,06-01-2013,1,6,Caught,ODI # 3316,55,1,3,65.45,ODI
390,32,v England,Rajkot,11-01-2013,2,6,Caught,ODI # 3318,25,0,4,128,ODI
391,72,v England,Kochi,15-01-2013,1,6,Caught,ODI # 3320,66,7,2,109.09,ODI
392,10,v England,Ranchi,19-01-2013,2,5,Not Out,ODI # 3322,12,2,0,83.33,ODI
393,19,v England,Mohali,23-01-2013,2,6,Caught,ODI # 3327,21,2,0,90.47,ODI
394,15,v England,Dharamsala,27-01-2013,1,6,Lbw,ODI # 3329,23,2,0,65.21,ODI
395,DNB,v Australia,Chennai,22-02-2013,4,DNB,DNB,Test # 2074,0,0,0,0,Test
396,224,v Australia,Chennai,22-02-2013,2,6,Caught,Test # 2074,265,24,6,84.52,Test
397,44,v Australia,Hyderabad,02-03-2013,2,6,Caught,Test # 2076,43,8,0,102.32,Test
398,4,v Australia,Mohali,14-03-2013,2,6,Lbw,Test # 2081,3,1,0,133.33,Test
399,18,v Australia,Mohali,14-03-2013,4,5,Not Out,Test # 2081,28,3,0,64.28,Test
400,24,v Australia,Delhi,22-03-2013,2,6,Caught,Test # 2085,23,2,0,104.34,Test
401,12,v Australia,Delhi,22-03-2013,4,6,Not Out,Test # 2085,14,2,0,85.71,Test
402,27,v South Africa,Cardiff,06-06-2013,1,5,Caught,ODI # 3363,26,3,0,103.84,ODI
403,DNB,v West Indies,The Oval,11-06-2013,2,DNB,DNB,ODI # 3368,0,0,0,0,ODI
404,DNB,v Pakistan,Birmingham,15-06-2013,2,DNB,DNB,ODI # 3372,0,0,0,0,ODI
405,DNB,v Sri Lanka,Cardiff,20-06-2013,2,DNB,DNB,ODI # 3376,0,0,0,0,ODI
406,0,v England,Birmingham,23-06-2013,1,6,Caught,ODI # 3377,4,0,0,0,ODI
407,27,v West Indies,Kingston,30-06-2013,1,6,Bowled,ODI # 3380,35,1,0,77.14,ODI
408,45,v Sri Lanka,Port of Spain,11-07-2013,2,6,Not Out,ODI # 3388,52,5,2,86.53,ODI
409,24,v Australia,Rajkot,10-10-2013,2,6,Not Out,T20I # 331,21,2,0,114.28,T20
410,19,v Australia,Pune,13-10-2013,2,6,Bowled,ODI # 3419,22,2,0,86.36,ODI
411,DNB,v Australia,Jaipur,16-10-2013,2,DNB,DNB,ODI # 3420,0,0,0,0,ODI
412,139,v Australia,Mohali,19-10-2013,1,6,Not Out,ODI # 3421,121,12,5,114.87,ODI
413,DNB,v Australia,Ranchi,23-10-2013,2,DNB,DNB,ODI # 3422,0,0,0,0,ODI
414,25,v Australia,Nagpur,30-10-2013,2,6,Not Out,ODI # 3424,23,2,0,108.69,ODI
415,62,v Australia,Bengaluru,02-11-2013,1,6,Run Out,ODI # 3428,38,7,2,163.15,ODI
416,42,v West Indies,Eden Gardens,06-11-2013,2,7,Caught,Test # 2101,63,5,0,66.66,Test
417,4,v West Indies,Wankhede,14-11-2013,2,7,Caught,Test # 2102,10,0,0,40,Test
418,13,v West Indies,Kochi,21-11-2013,2,6,Not Out,ODI # 3436,7,3,0,185.71,ODI
419,51,v West Indies,Visakhapatnam,24-11-2013,1,6,Not Out,ODI # 3437,40,3,4,127.5,ODI
420,23,v West Indies,Kanpur,27-11-2013,2,6,Not Out,ODI # 3439,23,3,0,100,ODI
421,65,v South Africa,Johannesburg,05-12-2013,2,6,Bowled,ODI # 3442,71,8,1,91.54,ODI
422,19,v South Africa,Durban,08-12-2013,2,6,Caught,ODI # 3443,31,0,0,61.29,ODI
423,DNB,v South Africa,Centurion,11-12-2013,DNB,DNB,DNB,ODI # 3444,0,0,0,0,ODI
424,29,v South Africa,Johannesburg,18-12-2013,3,7,Caught,Test # 2108,44,3,0,65.9,Test
425,19,v South Africa,Johannesburg,18-12-2013,1,7,Caught,Test # 2108,72,3,0,26.38,Test
426,15,v South Africa,Durban,26-12-2013,3,7,Caught,Test # 2111,29,2,0,51.72,Test
427,24,v South Africa,Durban,26-12-2013,1,7,Caught,Test # 2111,40,3,0,60,Test
428,40,v New Zealand,Napier,19-01-2014,2,6,Caught,ODI # 3456,46,2,2,86.95,ODI
429,56,v New Zealand,Hamilton,22-01-2014,2,5,Caught,ODI # 3458,44,7,1,127.27,ODI
430,50,v New Zealand,Auckland,25-01-2014,2,6,Caught,ODI # 3462,60,2,3,83.33,ODI
431,79,v New Zealand,Hamilton,28-01-2014,1,5,Not Out,ODI # 3465,73,6,3,108.21,ODI
432,47,v New Zealand,Wellington,31-01-2014,2,6,Caught,ODI # 3467,72,3,0,65.27,ODI
433,39,v New Zealand,Auckland,06-02-2014,4,7,Bowled,Test # 2118,41,6,0,95.12,Test
434,10,v New Zealand,Auckland,06-02-2014,2,7,Caught,Test # 2118,28,1,0,35.71,Test
435,DNB,v New Zealand,Wellington,14-02-2014,4,DNB,DNB,Test # 2120,0,0,0,0,Test
436,68,v New Zealand,Wellington,14-02-2014,2,8,Caught,Test # 2120,86,9,1,79.06,Test
437,DNB,v Pakistan,Mirpur,21-03-2014,2,DNB,DNB,T20I # 378,0,0,0,0,T20
438,DNB,v West Indies,Mirpur,23-03-2014,2,DNB,DNB,T20I # 382,0,0,0,0,T20
439,22,v Bangladesh,Mirpur,28-03-2014,2,4,Not Out,T20I # 389,12,1,2,183.33,T20
440,24,v Australia,Mirpur,30-03-2014,1,6,Bowled,T20I # 393,20,1,1,120,T20
441,0,v South Africa,Mirpur,04-04-2014,2,6,Not Out,T20I # 399,1,0,0,0,T20
442,4,v Sri Lanka,Mirpur,06-04-2014,1,5,Not Out,T20I # 400,7,0,0,57.14,T20
443,11,v England,Nottingham,09-07-2014,3,6,Bowled,Test # 2128,30,2,0,36.66,Test
444,82,v England,Nottingham,09-07-2014,1,6,Run Out,Test # 2128,152,7,0,53.94,Test
445,19,v England,Lord's,17-07-2014,3,6,Caught,Test # 2130,86,2,0,22.09,Test
446,1,v England,Lord's,17-07-2014,1,6,Caught,Test # 2130,17,0,0,5.88,Test
447,6,v England,Southampton,27-07-2014,4,7,Caught,Test # 2132,11,1,0,54.54,Test
448,50,v England,Southampton,27-07-2014,2,7,Caught,Test # 2132,113,5,1,44.24,Test
449,27,v England,Manchester,07-08-2014,3,6,Caught,Test # 2134,22,4,0,122.72,Test
450,71,v England,Manchester,07-08-2014,1,6,Caught,Test # 2134,133,15,0,53.38,Test
451,82,v England,The Oval,15-08-2014,1,6,Caught,Test # 2137,140,15,1,58.57,Test
452,0,v England,The Oval,15-08-2014,3,6,Caught,Test # 2137,5,0,0,0,Test
453,52,v England,Cardiff,27-08-2014,1,6,Bowled,ODI # 3517,51,6,0,101.96,ODI
454,DNB,v England,Nottingham,30-08-2014,2,DNB,DNB,ODI # 3520,0,0,0,0,ODI
455,DNB,v England,Birmingham,02-09-2014,2,DNB,DNB,ODI # 3523,0,0,0,0,ODI
456,29,v England,Leeds,05-09-2014,2,6,Caught,ODI # 3525,42,1,1,69.04,ODI
457,27,v England,Birmingham,07-09-2014,2,5,Not Out,T20I # 405,18,2,1,150,T20
458,8,v West Indies,Kochi,08-10-2014,2,6,Bowled,ODI # 3531,21,0,0,38.09,ODI
459,51,v West Indies,Delhi,11-10-2014,1,6,Not Out,ODI # 3533,40,5,1,127.5,ODI
460,6,v West Indies,Dharamsala,17-10-2014,1,5,Run Out,ODI # 3535,5,0,0,120,ODI
461,33,v Australia,Brisbane,17-12-2014,1,7,Caught,Test # 2149,53,4,0,62.26,Test
462,0,v Australia,Brisbane,17-12-2014,3,7,Lbw,Test # 2149,2,0,0,0,Test
463,11,v Australia,Melbourne,26-12-2014,2,7,Caught,Test # 2152,23,1,0,47.82,Test
464,24,v Australia,Melbourne,26-12-2014,4,7,Not Out,Test # 2152,39,4,0,61.53,Test
465,19,v Australia,Melbourne,18-01-2015,1,6,Bowled,ODI # 3582,31,2,0,61.29,ODI
466,34,v England,Brisbane,20-01-2015,1,6,Caught,ODI # 3586,61,1,0,55.73,ODI
467,DNB,v Australia,Sydney,26-01-2015,1,DNB,DNB,ODI # 3592,0,0,0,0,ODI
468,17,v England,Perth,30-01-2015,1,6,Lbw,ODI # 3595,32,3,0,53.12,ODI
469,18,v Pakistan,Adelaide,15-02-2015,1,5,Caught,ODI # 3602,13,1,1,138.46,ODI
470,18,v South Africa,Melbourne,22-02-2015,1,6,Caught,ODI # 3610,11,3,0,163.63,ODI
471,DNB,v U.A.E.,Perth,28-02-2015,2,DNB,DNB,ODI # 3618,0,0,0,0,ODI
472,45,v West Indies,Perth,06-03-2015,2,6,Not Out,ODI # 3625,56,3,1,80.35,ODI
473,DNB,v Ireland,Hamilton,10-03-2015,2,DNB,DNB,ODI # 3631,0,0,0,0,ODI
474,85,v Zimbabwe,Auckland,14-03-2015,2,6,Not Out,ODI # 3636,76,8,2,111.84,ODI
475,6,v Bangladesh,Melbourne,19-03-2015,1,6,Caught,ODI # 3641,11,0,0,54.54,ODI
476,65,v Australia,Sydney,26-03-2015,2,6,Run Out,ODI # 3645,65,3,2,100,ODI
477,5,v Bangladesh,Mirpur,18-06-2015,2,6,Caught,ODI # 3658,7,0,0,71.42,ODI
478,47,v Bangladesh,Mirpur,21-06-2015,1,4,Caught,ODI # 3660,75,3,0,62.66,ODI
479,69,v Bangladesh,Mirpur,24-06-2015,1,4,Caught,ODI # 3661,77,6,1,89.61,ODI
480,20,v South Africa,Dharamsala,02-10-2015,1,5,Not Out,T20I # 456,12,2,1,166.66,T20
481,5,v South Africa,Cuttack,05-10-2015,1,6,Caught,T20I # 457,8,0,0,62.5,T20
482,31,v South Africa,Kanpur,11-10-2015,2,5,Caught,ODI # 3689,30,1,0,103.33,ODI
483,92,v South Africa,Indore,14-10-2015,1,5,Not Out,ODI # 3692,86,7,4,106.97,ODI
484,47,v South Africa,Rajkot,18-10-2015,2,4,Caught,ODI # 3695,61,5,0,77.04,ODI
485,15,v South Africa,Chennai,22-10-2015,1,6,Caught,ODI # 3698,16,1,0,93.75,ODI
486,27,v South Africa,Wankhede,25-10-2015,2,6,Bowled,ODI # 3700,29,3,0,93.1,ODI
487,18,v Australia,Perth,12-01-2016,1,4,Caught,ODI # 3723,13,1,1,138.46,ODI
488,11,v Australia,Brisbane,15-01-2016,1,5,Caught,ODI # 3724,10,0,0,110,ODI
489,23,v Australia,Melbourne,17-01-2016,1,5,Caught,ODI # 3725,9,2,2,255.55,ODI
490,0,v Australia,Canberra,20-01-2016,2,4,Caught,ODI # 3726,3,0,0,0,ODI
491,34,v Australia,Sydney,23-01-2016,2,5,Caught,ODI # 3727,42,1,1,80.95,ODI
492,11,v Australia,Adelaide,26-01-2016,1,5,Not Out,T20I # 485,3,1,1,366.66,T20
493,14,v Australia,Melbourne,29-01-2016,1,4,Caught,T20I # 486,9,2,0,155.55,T20
494,DNB,v Australia,Sydney,31-01-2016,2,DNB,DNB,T20I # 489,0,0,0,0,T20
495,2,v Sri Lanka,Pune,09-02-2016,1,6,Caught,T20I # 496,2,0,0,100,T20
496,9,v Sri Lanka,Ranchi,12-02-2016,1,6,Not Out,T20I # 497,5,1,0,180,T20
497,DNB,v Sri Lanka,Visakhapatnam,14-02-2016,2,DNB,DNB,T20I # 499,0,0,0,0,T20
498,8,v Bangladesh,Mirpur,24-02-2016,1,7,Not Out,T20I # 509,2,0,1,400,T20
499,7,v Pakistan,Mirpur,27-02-2016,2,7,Not Out,T20I # 512,3,1,0,233.33,T20
500,7,v Sri Lanka,Mirpur,01-03-2016,2,7,Not Out,T20I # 515,4,0,1,175,T20
501,DNB,v U.A.E.,Mirpur,03-03-2016,2,DNB,DNB,T20I # 517,0,0,0,0,T20
502,20,v Bangladesh,Mirpur,06-03-2016,2,4,Not Out,T20I # 521,6,1,2,333.33,T20
503,30,v New Zealand,Nagpur,15-03-2016,2,6,Caught,T20I # 535,30,1,1,100,T20
504,13,v Pakistan,Eden Gardens,19-03-2016,2,6,Not Out,T20I # 541,9,0,1,144.44,T20
505,13,v Bangladesh,Bengaluru,23-03-2016,1,6,Not Out,T20I # 547,12,1,0,108.33,T20
506,18,v Australia,Mohali,27-03-2016,2,6,Not Out,T20I # 553,10,3,0,180,T20
507,15,v West Indies,Wankhede,31-03-2016,1,4,Not Out,T20I # 556,9,1,0,166.66,T20
508,DNB,v Zimbabwe,Harare,11-06-2016,2,DNB,DNB,ODI # 3742,0,0,0,0,ODI
509,DNB,v Zimbabwe,Harare,13-06-2016,2,DNB,DNB,ODI # 3744,0,0,0,0,ODI
510,DNB,v Zimbabwe,Harare,15-06-2016,2,DNB,DNB,ODI # 3746,0,0,0,0,ODI
511,19,v Zimbabwe,Harare,18-06-2016,2,6,Not Out,T20I # 558,17,1,0,111.76,T20
512,DNB,v Zimbabwe,Harare,20-06-2016,2,DNB,DNB,T20I # 559,0,0,0,0,T20
513,9,v Zimbabwe,Harare,22-06-2016,1,6,Bowled,T20I # 560,13,1,0,69.23,T20
514,43,v West Indies,Lauderhill,27-08-2016,2,5,Caught,T20I # 562,25,2,2,172,T20
515,DNB,v West Indies,Lauderhill,28-08-2016,2,DNB,DNB,T20I # 563,0,0,0,0,T20
516,21,v New Zealand,Dharamsala,16-10-2016,2,5,Run Out,ODI # 3796,24,1,1,87.5,ODI
517,39,v New Zealand,Delhi,20-10-2016,2,5,Caught,ODI # 3797,65,3,0,60,ODI
518,80,v New Zealand,Mohali,23-10-2016,2,4,Caught,ODI # 3798,91,6,3,87.91,ODI
519,11,v New Zealand,Ranchi,26-10-2016,2,4,Bowled,ODI # 3799,31,0,0,35.48,ODI
520,41,v New Zealand,Visakhapatnam,29-10-2016,1,4,Lbw,ODI # 3800,59,4,1,69.49,ODI
521,6,v England,Pune,15-01-2017,2,5,Caught,ODI # 3819,6,1,0,100,ODI
522,134,v England,Cuttack,19-01-2017,1,5,Caught,ODI # 3821,122,10,6,109.83,ODI
523,25,v England,Eden Gardens,22-01-2017,2,5,Caught,ODI # 3824,36,1,1,69.44,ODI
524,36,v England,Kanpur,26-01-2017,1,5,Not Out,T20I # 592,27,3,0,133.33,T20
525,5,v England,Nagpur,29-01-2017,1,6,Bowled,T20I # 593,7,0,0,71.42,T20
526,56,v England,Bengaluru,01-02-2017,1,4,Caught,T20I # 594,36,5,2,155.55,T20
